"Total.Cup.Points","altitude_mean_meters_adj","Country.of.Origin","Harvest.Year","Variety","Processing.Method","total_defects","Quakers","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical","dist_equator"
83.83,1218,"Mexico","2012","Bourbon","Natural / Dry",2,0,0,0,0,0,"Bourbon",1,0,0,0,0,1,23.634501
83.75,890,"Brazil","2017 / 2018","Bourbon","Natural / Dry",5,0,0,0,0,0,"Bourbon",1,0,0,0,0,0,14.235004
83.75,750,"Taiwan","2016","Typica","Natural / Dry",0,0,0,0,0,0,"Typica",0,0,0,1,0,1,23.69781
83.75,1650,"China","2015","Catimor","Washed / Wet",2,1,0,0,0,1,"Other",0,0,0,0,0,1,35.86166
83.75,1775,"Colombia","2014","Caturra","Washed / Wet",5,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
83.75,1550,"Colombia","2014","Other","Washed / Wet",3,0,0,0,0,1,"Other",0,0,0,0,0,0,4.570868
83.75,700,"Mexico","2012","Caturra","Natural / Dry",10,0,0,0,0,0,"Caturra",0,0,1,0,0,1,23.634501
83.75,1300,"Guatemala","2012","Caturra","Washed / Wet",1,0,0,0,0,1,"Caturra",0,0,1,0,0,0,15.783471
83.67,934,"Brazil","2016","Bourbon","Natural / Dry",3,2,0,0,0,0,"Bourbon",1,0,0,0,0,0,14.235004
83.67,1200,"Taiwan","2015","Caturra","Natural / Dry",0,0,0,0,0,0,"Caturra",0,0,1,0,0,1,23.69781
83.67,413.51143104,"Guatemala","2014","Bourbon","Washed / Wet",0,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
83.67,1750,"Colombia","2013","Caturra","Washed / Wet",3,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
83.67,1900,"Colombia","2013","Caturra","Washed / Wet",1,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
83.67,399.483072,"Guatemala","2012","Bourbon","Washed / Wet",13,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
83.67,464.5152,"Guatemala","2012","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0,15.783471
83.58,890,"Brazil","2017 / 2018","Bourbon","Natural / Dry",5,0,0,0,0,0,"Bourbon",1,0,0,0,0,0,14.235004
83.58,1200,"Mexico","2014","Caturra","Washed / Wet",14,0,0,0,0,1,"Caturra",0,0,1,0,0,1,23.634501
83.58,1800,"Uganda","2013","SL14","Washed / Wet",5,0,0,0,0,1,"Other",0,0,0,0,0,0,1.373333
83.58,1550,"Colombia","2014","Caturra","Washed / Wet",1,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
83.5,1799,"Colombia","2016","Caturra","Washed / Wet",5,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
83.5,1400,"Tanzania, United Republic Of","2015","Ruiru 11","Washed / Wet",21,0,0,0,0,1,"Other",0,0,0,0,0,0,NA
83.5,1850,"Colombia","2014","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
83.5,1650,"Colombia","2014","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
83.5,1750,"Colombia","2013","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
83.5,1775,"Colombia","2012","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
83.42,439,"Colombia","2017 / 2018","Caturra","Washed / Wet",1,2,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
83.42,1850,"Costa Rica","2016","Caturra","Washed / Wet",4,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.748917
83.42,1800,"Uganda","2015","SL14","Washed / Wet",1,0,0,0,0,1,"Other",0,0,0,0,0,0,1.373333
83.42,1200,"Thailand","2015","Catimor","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0,15.870032
83.42,442,"Colombia","2015","Caturra","Natural / Dry",4,0,0,0,0,0,"Caturra",0,0,1,0,0,0,4.570868
83.42,371.61216,"Guatemala","2013","Bourbon","Natural / Dry",1,0,0,0,0,0,"Bourbon",1,0,0,0,0,0,15.783471
83.42,1500,"Guatemala","2014","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0,15.783471
83.33,1227,"Brazil","2015/2016","Catuai","Semi-washed / Semi-pulped",6,0,0,0,1,0,"Catuai",0,1,0,0,0,0,14.235004
83.33,1100,"Mexico","2013","Other","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,1,23.634501
83.33,1300,"Costa Rica","2014","Caturra","Washed / Wet",3,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.748917
83.33,390.192768,"Haiti","2012","Typica","Washed / Wet",4,0,0,0,0,1,"Typica",0,0,0,1,0,0,18.971187
83.33,1000,"Colombia","2013","Caturra","Natural / Dry",1,0,0,0,0,0,"Caturra",0,0,1,0,0,0,4.570868
83.25,1261,"Mexico","2015","Typica","Natural / Dry",2,0,0,0,0,0,"Typica",0,0,0,1,0,1,23.634501
83.25,1000,"Taiwan","2015","Bourbon","Washed / Wet",0,0,0,0,0,1,"Bourbon",1,0,0,0,0,1,23.69781
83.25,800,"Taiwan","2014","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.69781
83.25,1200,"Brazil","2012","Yellow Bourbon","Semi-washed / Semi-pulped",1,0,0,0,1,0,"Yellow Bourbon",0,0,0,0,1,0,14.235004
83.25,175,"Colombia","2012","Caturra","Washed / Wet",1,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
83.17,168,"Tanzania, United Republic Of","2016","Bourbon","Washed / Wet",3,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,NA
83.17,1500,"Guatemala","2016","Caturra","Washed / Wet",5,2,0,0,0,1,"Caturra",0,0,1,0,0,0,15.783471
83.17,1500,"Guatemala","2015","Bourbon","Washed / Wet",1,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
83.17,1089,"Mexico","2012","Pacamara","Washed / Wet",10,0,0,0,0,1,"Other",0,0,0,0,0,1,23.634501
83.17,427.353984,"Guatemala","2012","Bourbon","Washed / Wet",10,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
83.17,1000,"Brazil","2011","Mundo Novo","Semi-washed / Semi-pulped",3,0,0,0,1,0,"Other",0,0,0,0,0,0,14.235004
83.08,1300,"Taiwan","2013/2014","Typica","Other",0,0,1,0,0,0,"Typica",0,0,0,1,0,1,23.69781
83,1550,"Vietnam","2014","Caturra","Other",0,0,1,0,0,0,"Caturra",0,0,1,0,0,0,14.058324
83,260.128512,"United States (Puerto Rico)","2013","Other","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0,NA
83,1000,"Colombia","2013","Caturra","Natural / Dry",1,0,0,0,0,0,"Caturra",0,0,1,0,0,0,4.570868
83,1000,"Colombia","2013","Caturra","Natural / Dry",2,0,0,0,0,0,"Caturra",0,0,1,0,0,0,4.570868
83,1775,"Colombia","2012","Caturra","Washed / Wet",3,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
83,1200,"Mexico","2012","Bourbon","Washed / Wet",13,0,0,0,0,1,"Bourbon",1,0,0,0,0,1,23.634501
83,1775,"Colombia","2011","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
82.92,890,"Brazil","2017 / 2018","Bourbon","Natural / Dry",0,0,0,0,0,0,"Bourbon",1,0,0,0,0,0,14.235004
82.92,350,"Taiwan","2016","Caturra","Natural / Dry",31,0,0,0,0,0,"Caturra",0,0,1,0,0,1,23.69781
82.92,1500,"Guatemala","2014","Caturra","Natural / Dry",2,0,0,0,0,0,"Caturra",0,0,1,0,0,0,15.783471
82.92,1750,"Colombia","2013","Caturra","Natural / Dry",0,0,0,0,0,0,"Caturra",0,0,1,0,0,0,4.570868
82.92,520.257024,"Guatemala","2013","Bourbon","Washed / Wet",2,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
82.92,1450,"Colombia","2013","Other","Washed / Wet",8,0,0,0,0,1,"Other",0,0,0,0,0,0,4.570868
82.92,1248,"Mexico","2012","Typica","Natural / Dry",4,0,0,0,0,0,"Typica",0,0,0,1,0,1,23.634501
82.92,1400,"Mexico","2012","Typica","Washed / Wet",5,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
82.83,905,"Brazil","2015","Yellow Bourbon","Pulped natural / honey",2,2,0,1,0,0,"Yellow Bourbon",0,0,0,0,1,0,14.235004
82.83,1200,"United States","2014","Other","Other",9,0,1,0,0,0,"Other",0,0,0,0,0,1,37.09024
82.83,1775,"Colombia","2013","Caturra","Washed / Wet",3,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
82.83,1250,"Mexico","2012","Bourbon","Washed / Wet",7,0,0,0,0,1,"Bourbon",1,0,0,0,0,1,23.634501
82.83,1380,"Mexico","2012","Typica","Washed / Wet",2,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
82.75,371.61216,"Guatemala","2017","Bourbon","Washed / Wet",1,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
82.75,371.61216,"Guatemala","2017","Bourbon","Washed / Wet",1,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
82.75,1500,"Indonesia","2017","Sulawesi","Other",15,0,1,0,0,0,"Other",0,0,0,0,0,0,0.789275
82.75,1850,"Costa Rica","2016","Caturra","Washed / Wet",1,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.748917
82.75,1100,"China","2015","Catimor","Natural / Dry",0,0,0,0,0,0,"Other",0,0,0,0,0,1,35.86166
82.75,1775,"Colombia","2014","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
82.75,1200,"Mexico","2012","Typica","Natural / Dry",5,0,0,0,0,0,"Typica",0,0,0,1,0,1,23.634501
82.75,1100,"Panama","2012","Catuai","Washed / Wet",4,0,0,0,0,1,"Catuai",0,1,0,0,0,0,8.537981
82.67,890,"Brazil","2017 / 2018","Bourbon","Natural / Dry",4,0,0,0,0,0,"Bourbon",1,0,0,0,0,0,14.235004
82.67,1,"Brazil","2015/2016","Yellow Bourbon","Natural / Dry",0,0,0,0,0,0,"Yellow Bourbon",0,0,0,0,1,0,14.235004
82.67,1200,"Taiwan","2014","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.69781
82.67,1240,"Taiwan","2013/2014","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.69781
82.67,1500,"Guatemala","2012","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0,15.783471
82.67,950,"Mexico","2012","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
82.58,1650,"Uganda","2013","SL14","Natural / Dry",0,0,0,0,0,0,"Other",0,0,0,0,0,0,1.373333
82.58,1750,"Colombia","2012","Caturra","Washed / Wet",3,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
82.5,1650,"Mexico","2012","Typica","Semi-washed / Semi-pulped",2,0,0,0,1,0,"Typica",0,0,0,1,0,1,23.634501
82.5,1250,"Brazil","2012","Bourbon","Semi-washed / Semi-pulped",4,0,0,0,1,0,"Bourbon",1,0,0,0,0,0,14.235004
82.42,1700,"Guatemala","2017","Bourbon","Washed / Wet",2,1,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
82.42,1600,"China","2015","Catimor","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,1,35.86166
82.42,1170,"Mexico","2013","Bourbon","Washed / Wet",0,0,0,0,0,1,"Bourbon",1,0,0,0,0,1,23.634501
82.42,1775,"Colombia","2013","Caturra","Washed / Wet",9,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
82.42,1560,"Mexico","2013","Typica","Washed / Wet",5,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
82.42,1400,"Mexico","2012","Typica","Semi-washed / Semi-pulped",2,0,0,0,1,0,"Typica",0,0,0,1,0,1,23.634501
82.42,1300,"Mexico","2012","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
82.42,442,"Colombia","2012","Caturra","Natural / Dry",2,0,0,0,0,0,"Caturra",0,0,1,0,0,0,4.570868
82.33,982,"Brazil","2016","Catuai","Natural / Dry",11,3,0,0,0,0,"Catuai",0,1,0,0,0,0,14.235004
82.33,1580,"China","2015","Catimor","Pulped natural / honey",2,6,0,1,0,0,"Other",0,0,0,0,0,1,35.86166
82.33,1750,"Colombia","2013","Caturra","Washed / Wet",1,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
82.33,399.483072,"Guatemala","2012","Bourbon","Washed / Wet",7,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
82.33,1100,"Brazil","2012","Mundo Novo","Natural / Dry",2,0,0,0,0,0,"Other",0,0,0,0,0,0,14.235004
82.33,1300,"Mexico","2012","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
82.33,950,"Brazil","2012","Mundo Novo","Washed / Wet",2,0,0,0,0,1,"Other",0,0,0,0,0,0,14.235004
82.25,1500,"El Salvador","2014","Bourbon","Washed / Wet",0,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,13.794185
82.25,1350,"Honduras","2015","Catuai","Washed / Wet",2,0,0,0,0,1,"Catuai",0,1,0,0,0,0,15.199999
82.25,1180,"Malawi","2014","Gesha","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0,13.254308
82.25,1775,"Colombia","2012","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
82.17,934,"Brazil","2016","Bourbon","Natural / Dry",5,1,0,0,0,0,"Bourbon",1,0,0,0,0,0,14.235004
82.17,1350,"Honduras","2015","Catuai","Washed / Wet",2,0,0,0,0,1,"Catuai",0,1,0,0,0,0,15.199999
82.17,1200,"Taiwan","2013/2014","Typica","Other",0,0,1,0,0,0,"Typica",0,0,0,1,0,1,23.69781
82.17,1144,"Mexico","2012","Typica","Washed / Wet",10,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
82.17,1350,"Guatemala","2012","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0,15.783471
82.08,894,"Brazil","2016","Bourbon","Natural / Dry",3,1,0,0,0,0,"Bourbon",1,0,0,0,0,0,14.235004
82.08,1250,"Mexico","2012","Typica","Washed / Wet",1,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
82,1650,"Tanzania, United Republic Of","2015","Other","Washed / Wet",20,0,0,0,0,1,"Other",0,0,0,0,0,0,NA
82,2500,"Malawi","2014","Gesha","Washed / Wet",1,0,0,0,0,1,"Other",0,0,0,0,0,0,13.254308
82,600,"Taiwan","2013","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.69781
82,1300,"Costa Rica","2013","Catuai","Washed / Wet",4,0,0,0,0,1,"Catuai",0,1,0,0,0,0,9.748917
82,1038.5,"Brazil","2012","Mundo Novo","Natural / Dry",0,0,0,0,0,0,"Other",0,0,0,0,0,0,14.235004
81.92,1901,"Guatemala","2017","Bourbon","Washed / Wet",1,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
81.92,1400,"Honduras","2017","Caturra","Washed / Wet",1,0,0,0,0,1,"Caturra",0,0,1,0,0,0,15.199999
81.92,1877,"Tanzania, United Republic Of","2014","Other","Washed / Wet",4,0,0,0,0,1,"Other",0,0,0,0,0,0,NA
81.92,1250,"Zambia","2014","SL28","Washed / Wet",4,0,0,0,0,1,"Other",0,0,0,0,0,0,13.133897
81.92,1000,"Taiwan","2012","Typica","Other",0,0,1,0,0,0,"Typica",0,0,0,1,0,1,23.69781
81.92,1300,"Mexico","2013","Bourbon","Washed / Wet",6,0,0,0,0,1,"Bourbon",1,0,0,0,0,1,23.634501
81.92,981,"Mexico","2012","Typica","Semi-washed / Semi-pulped",9,0,0,0,1,0,"Typica",0,0,0,1,0,1,23.634501
81.83,973,"Brazil","2016","Mundo Novo","Natural / Dry",3,1,0,0,0,0,"Other",0,0,0,0,0,0,14.235004
81.83,1425,"Mexico","2015","Catuai","Washed / Wet",7,0,0,0,0,1,"Catuai",0,1,0,0,0,1,23.634501
81.83,1300,"Costa Rica","2015","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.748917
81.83,1550,"Mexico","2014","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
81.83,1775,"Colombia","2013","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
81.75,1600,"Tanzania, United Republic Of","2014","Other","Washed / Wet",4,0,0,0,0,1,"Other",0,0,0,0,0,0,NA
81.75,774,"Mexico","2012","Bourbon","Washed / Wet",11,0,0,0,0,1,"Bourbon",1,0,0,0,0,1,23.634501
81.75,1250,"Mexico","2012","Mundo Novo","Washed / Wet",23,0,0,0,0,1,"Other",0,0,0,0,0,1,23.634501
81.67,1450,"Honduras","2016","Catuai","Washed / Wet",2,0,0,0,0,1,"Catuai",0,1,0,0,0,0,15.199999
81.67,1,"Brazil","2015/2016","Yellow Bourbon","Natural / Dry",0,0,0,0,0,0,"Yellow Bourbon",0,0,0,0,1,0,14.235004
81.67,1500,"Tanzania, United Republic Of","2014","Other","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0,NA
81.67,1700,"Tanzania, United Republic Of","2013","Other","Washed / Wet",7,0,0,0,0,1,"Other",0,0,0,0,0,0,NA
81.67,1850,"Costa Rica","2013","Caturra","Washed / Wet",3,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.748917
81.67,750,"Taiwan","2013/2014","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.69781
81.67,534.19248,"Guatemala","2012","Bourbon","Washed / Wet",4,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
81.67,1400,"Mexico","2012","Bourbon","Washed / Wet",2,0,0,0,0,1,"Bourbon",1,0,0,0,0,1,23.634501
81.58,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",1,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
81.58,1400,"Mexico","2013","Typica","Washed / Wet",9,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
81.58,1650,"Mexico","2012","Typica","Natural / Dry",2,0,0,0,0,0,"Typica",0,0,0,1,0,1,23.634501
81.5,600,"Taiwan","2013/2014","Typica","Other",0,0,1,0,0,0,"Typica",0,0,0,1,0,1,23.69781
